sensor,segment,timestamp,actual,pred,p10,p90
6680,history,2026-02-22 03:00:00,639.75,,,
6680,history,2026-02-22 04:00:00,516.25,,,
6680,history,2026-02-22 05:00:00,554.0,,,
6680,history,2026-02-22 06:00:00,780.0,,,
6680,history,2026-02-22 07:00:00,921.25,,,
6680,history,2026-02-22 08:00:00,1225.5,,,
6680,history,2026-02-22 09:00:00,1653.25,,,
6680,history,2026-02-22 10:00:00,2471.5,,,
6680,history,2026-02-22 11:00:00,3568.0,,,
6680,history,2026-02-22 12:00:00,3349.75,,,
6680,history,2026-02-22 13:00:00,3249.5,,,
6680,history,2026-02-22 14:00:00,3236.5,,,
6680,history,2026-02-22 15:00:00,2568.0,,,
6680,history,2026-02-22 16:00:00,2499.25,,,
6680,history,2026-02-22 17:00:00,3039.25,,,
6680,history,2026-02-22 18:00:00,3171.0,,,
6680,history,2026-02-22 19:00:00,3174.5,,,
6680,history,2026-02-22 20:00:00,3082.0,,,
6680,history,2026-02-22 21:00:00,2543.0,,,
6680,history,2026-02-22 22:00:00,2157.5,,,
6680,history,2026-02-22 23:00:00,1484.5,,,
6680,history,2026-02-23 00:00:00,1100.0,,,
6680,history,2026-02-23 01:00:00,587.0,,,
6680,history,2026-02-23 02:00:00,306.5,,,
6680,history,2026-02-23 03:00:00,224.0,,,
6680,history,2026-02-23 04:00:00,216.25,,,
6680,history,2026-02-23 05:00:00,440.5,,,
6680,history,2026-02-23 06:00:00,1420.75,,,
6680,history,2026-02-23 07:00:00,2926.25,,,
6680,history,2026-02-23 08:00:00,2990.75,,,
6680,history,2026-02-23 09:00:00,3328.0,,,
6680,history,2026-02-23 10:00:00,2999.25,,,
6680,history,2026-02-23 11:00:00,3034.0,,,
6680,history,2026-02-23 12:00:00,3360.0,,,
6680,history,2026-02-23 13:00:00,3303.75,,,
6680,history,2026-02-23 14:00:00,2995.25,,,
6680,history,2026-02-23 15:00:00,602.0,,,
6680,history,2026-02-23 16:00:00,2829.0,,,
6680,history,2026-02-23 17:00:00,3197.0,,,
6680,history,2026-02-23 18:00:00,3565.0,,,
6680,history,2026-02-23 19:00:00,3632.0,,,
6680,history,2026-02-23 20:00:00,3325.0,,,
6680,history,2026-02-23 21:00:00,2701.5,,,
6680,history,2026-02-23 22:00:00,2093.75,,,
6680,history,2026-02-23 23:00:00,1238.0,,,
6680,history,2026-02-24 00:00:00,842.75,,,
6680,history,2026-02-24 01:00:00,453.5,,,
6680,history,2026-02-24 02:00:00,290.25,,,
6680,history,2026-02-24 03:00:00,187.0,,,
6680,history,2026-02-24 04:00:00,228.5,,,
6680,history,2026-02-24 05:00:00,461.75,,,
6680,history,2026-02-24 06:00:00,1356.0,,,
6680,history,2026-02-24 07:00:00,2875.5,,,
6680,history,2026-02-24 08:00:00,3135.0,,,
6680,history,2026-02-24 09:00:00,3028.25,,,
6680,history,2026-02-24 10:00:00,2886.5,,,
6680,history,2026-02-24 11:00:00,3139.0,,,
6680,history,2026-02-24 12:00:00,3196.5,,,
6680,history,2026-02-24 13:00:00,3449.0,,,
6680,history,2026-02-24 14:00:00,3739.25,,,
6680,history,2026-02-24 15:00:00,3543.0,,,
6680,history,2026-02-24 16:00:00,3600.3333333333335,,,
6680,history,2026-02-24 17:00:00,3456.5,,,
6680,history,2026-02-24 18:00:00,3027.75,,,
6680,history,2026-02-24 19:00:00,3469.0,,,
6680,history,2026-02-24 20:00:00,3580.3333333333335,,,
6680,history,2026-02-24 21:00:00,3404.0,,,
6680,history,2026-02-24 22:00:00,2558.0,,,
6680,history,2026-02-24 23:00:00,1593.25,,,
6680,forecast,2026-02-25 00:00:00,1052.75,1136.0,1016.0,1280.0
6680,forecast,2026-02-25 01:00:00,545.5,568.0,474.0,676.0
6680,forecast,2026-02-25 02:00:00,269.0,342.0,237.0,426.0
6680,forecast,2026-02-25 03:00:00,204.0,237.0,147.0,308.0
6680,forecast,2026-02-25 04:00:00,213.0,201.0,129.0,290.0
6680,forecast,2026-02-25 05:00:00,449.0,426.0,358.0,506.0
6680,forecast,2026-02-25 06:00:00,1320.0,1352.0,1240.0,1488.0
6680,forecast,2026-02-25 07:00:00,2946.0,2944.0,2752.0,3104.0
6680,forecast,2026-02-25 08:00:00,3382.0,3152.0,2944.0,3280.0
6680,forecast,2026-02-25 09:00:00,3058.25,3008.0,2816.0,3136.0
6680,forecast,2026-02-25 10:00:00,2951.25,2880.0,2720.0,3024.0
6680,forecast,2026-02-25 11:00:00,2904.0,3056.0,2896.0,3184.0
6680,forecast,2026-02-25 12:00:00,3075.75,3216.0,3040.0,3360.0
6680,forecast,2026-02-25 13:00:00,3433.25,3424.0,3216.0,3568.0
6680,forecast,2026-02-25 16:00:00,3720.25,3536.0,3216.0,3696.0
6680,forecast,2026-02-25 17:00:00,2411.75,3488.0,3216.0,3696.0
6680,forecast,2026-02-25 18:00:00,3320.75,3408.0,3104.0,3648.0
6680,forecast,2026-02-25 19:00:00,3654.0,3520.0,3216.0,3712.0
6680,forecast,2026-02-25 20:00:00,3433.0,3408.0,3136.0,3600.0
6680,forecast,2026-02-25 21:00:00,2797.5,2928.0,2672.0,3136.0
6680,forecast,2026-02-25 22:00:00,2175.75,2224.0,2000.0,2416.0
6680,forecast,2026-02-25 23:00:00,1512.5,1672.0,1488.0,1808.0
6680,forecast,2026-02-26 00:00:00,1166.25,1216.0,1088.0,1320.0
